school,OFF_ALL_raw,OFF_ALL_adj,DEF_ALL_raw,DEF_ALL_adj,OFF_PASS_raw,OFF_PASS_adj,DEF_PASS_raw,DEF_PASS_adj,OFF_RUSH_raw,OFF_RUSH_adj,DEF_RUSH_raw,DEF_RUSH_adj
Florida,0.13918375049184178,0.16817008191134739,0.24433962897493194,0.19040423609287138,0.17201116541391603,0.21122391943122915,0.29708782808738543,0.24815993516745138,0.14996102443787113,0.17562921335897935,0.23741774406467955,0.1837791759458166
Florida Atlantic,0.19048793589621832,0.18708777288063821,0.19937479357590335,0.1863619977228337,0.22181083544806945,0.2346752430246144,0.17463280049919425,0.21731934059273345,0.18654441473279063,0.16760668936444473,0.2790452448543406,0.20947571335320903
Florida International,0.06707743990631486,0.12749437476325853,0.1604889077571207,0.15230251090556918,0.09606536847884782,0.19424119223204195,0.06598543324078036,0.16102707898410756,0.08484952692340304,0.13041584919644061,0.30544309916195866,0.2187956441469694
Florida State,0.09479874264256608,0.1369735128552204,0.2569807939684741,0.22566101616667356,0.15071836906376862,0.19953422031484228,0.42386981525164785,0.3232360373027994,0.022295509408908298,0.101351378685789,0.1640891765579904,0.1643367687956643
Fresno State,0.041396756334777206,0.0856508939471485,0.10242527480989155,0.12184914042004522,0.12047441080595775,0.1851723943173189,0.0686614712453315,0.16843067818228025,0.023579792971749326,0.08363518985870198,0.15634603322943197,0.1420287830159983
Georgia,0.29543533294341723,0.2518188409858044,0.12912353896260112,0.12985050534468567,0.42005922745338625,0.3193793105712206,0.22366097641557872,0.22315444378964905,0.1612774399049201,0.16834854530760243,0.03964454391853016,0.08363819727932481
Georgia Southern,0.15417623244209439,0.16752387428770465,0.32262495896703997,0.24178252487875268,0.177877684888056,0.21573272767333077,0.36274645456041255,0.2876180740203647,0.1510623150402267,0.16013138763914025,0.34159620373750516,0.221665486825665
Georgia State,0.07005634613841441,0.10761575126474304,0.2725965670977722,0.2266137499393108,0.09863677368545815,0.15974874681194254,0.33901984948206415,0.26877145691488685,0.03303092554666183,0.11714027825351943,0.22058789299428413,0.19245416348432118
Georgia Tech,0.2995301021185021,0.2479725450785725,0.18702301066208096,0.18096401199987913,0.44755519139305017,0.321769331378158,0.3347493391213536,0.2806299753707653,0.2437201244450086,0.21157789664635657,0.02931784502362688,0.10682276161566204
Hawai'i,0.09905923622601201,0.13244530369376153,0.22605623877443087,0.20022184308431237,0.14203841383058755,0.19667372470572952,0.35346980931788824,0.27729327273843957,0.01612491914404731,0.11526413084117218,0.11441978874294291,0.13856647901606023
Houston,0.028435153661300793,0.1009205658045535,0.08063281921255194,0.11379566480437436,0.02258299432568755,0.15650138535030836,0.13604060318940325,0.18579509663360846,0.08347803419095072,0.12881444097594055,0.04452328213292194,0.1105514891967349
Illinois,0.26678501083261613,0.21408422356291484,0.23288116350413207,0.2060071859513911,0.4835558997410522,0.3304683300314998,0.22616114023853748,0.2419821172526265,0.07952382419067842,0.11254460971217889,0.2661386600756762,0.1985661906858618
Indiana,0.37607222324717016,0.2992507702522306,0.10072829842557972,0.1628439759896497,0.6421120334321474,0.40618326489760537,0.13884879883647366,0.2180400525637059,0.20963961066291192,0.18913325592400265,0.07604199324460151,0.14008772575237535
Iowa,0.1417358282215449,0.1852971587218546,0.1700831861405481,0.14321792034245823,0.002270622818689391,0.17558121974643595,0.23400525250125695,0.21437827243203195,0.2530658635917207,0.2145102682016572,0.12733821966706818,0.13225831712411207
Iowa State,0.2624345047792173,0.22998856682690955,0.009223949771504578,0.09343063239158324,0.41482624412610475,0.3076262334085154,0.050596806977535914,0.16412068251859185,0.15754385815443228,0.16567646448267714,0.059108379785636295,0.11274437736874443
Jacksonville State,0.2771251043825251,0.20857570877813775,0.1570247825792098,0.18783765637679192,0.39678881495131896,0.2873801112304759,0.1805872606928934,0.2200653307413721,0.2790860256577133,0.20010212634160135,0.19623051334425096,0.20630234231204708
James Madison,0.26148389949704937,0.212990970833835,0.007739185335730107,0.08763758923056061,0.3350847213391136,0.2803282018019216,0.019828701126114696,0.14120302039569874,0.30833793896932615,0.21160438119867492,0.10692866994822617,0.14441335257721014
Kansas,0.2158369715913374,0.20473254899284188,0.2500826912451687,0.18730918469138735,0.16139745985563833,0.21009926663786152,0.30966264530880905,0.23666005942755977,0.31190039724592894,0.24687029446660663,0.22652415630380823,0.1853407576284064
Kansas State,0.3174336255529719,0.28473017535297085,0.17467069291437076,0.16373452410244518,0.35676138910207705,0.30497818644484864,0.31927458007807474,0.26447520170260014,0.29435497416450007,0.2341913505284734,0.065564444868105,0.1252722060912549
Kennesaw State,-0.030697593223567427,0.07020304845857327,0.32708378698219537,0.25363074298316823,0.06374248460675556,0.1847547735498813,0.38608939041583246,0.2823107392982776,-0.043268107081118994,0.06074147721138495,0.31161879308050017,0.232741141211199
Kent State,0.07273814201274227,0.11245001270949159,0.3808573470739448,0.3008783363944242,0.2811517610393809,0.22857665841652777,0.4301665124516218,0.320739667101926,-0.1188648046035028,0.05364886399824868,0.3960649722541083,0.2912899319059724
Kentucky,0.13206237540565138,0.1611629198133668,0.05268011067598883,0.10401211680194672,0.1258197500576698,0.19325187190475174,0.2052865296522687,0.22436790503596665,0.1884887387719327,0.18864006455628138,-0.02429736154315304,0.06692525213496277
Liberty,0.2707080362616867,0.21112715492761983,0.023954177043925426,0.14057516629136588,0.43363457564961555,0.2953055478405662,0.06443026409159167,0.20615438354900714,0.2602139051843987,0.18502781299228696,0.07841616241643953,0.135673289811105
Louisiana,0.31414147051437985,0.21835846176561108,0.2538969591846995,0.23563768807041852,0.3556603027724649,0.2683689172882266,0.27086027691834486,0.26327826269385174,0.28078240875788374,0.19373600522477932,0.28020945335485314,0.22455215799250444
Louisiana Tech,0.09561614746520798,0.10142944507113535,0.0810133455076334,0.15713323639044427,0.22185410397294597,0.21172235949077847,0.1634705953578969,0.23329137040114434,0.02253003337244431,0.08724666633835237,0.054641743917479536,0.13194745978358247
Louisville,0.2761224609934882,0.255503260336997,0.14940286430450112,0.14658938891243653,0.42629402000218414,0.33579840927235305,0.3035748003959685,0.26014659520814276,0.13235582886737088,0.15464446253133407,0.05175603167785475,0.09053939073496112
LSU,0.26298332965696003,0.250808337886519,0.1808433117266203,0.16694087157632237,0.3619108253679257,0.31504777878297463,0.27931716984086724,0.25573596369191237,0.11162483443797562,0.15271966259049902,0.11553843098750517,0.12402186876272034
Marshall,0.13552536916745672,0.1459115979702721,0.1982795717627378,0.18292801316026117,0.16748318786591157,0.21244957398303235,0.1459210102314123,0.1991139024920217,0.2092409678309069,0.1688152996676382,0.27874301954900566,0.2083762657818971
Maryland,0.1671198664236602,0.18967667536471,0.14926087753471778,0.1676693574394335,0.26768729820999726,0.2554881344273086,0.27772033220429887,0.2553746138645284,0.08423787465527477,0.13883311045671998,0.04601446562102935,0.11225924010054555
Massachusetts,0.0630006814194632,0.11295200010269245,0.23410368441551613,0.22990097147412675,0.06886445782387195,0.16701033757233097,0.23187917214768347,0.2463077534291196,0.06954487240831515,0.1186195587594899,0.2675143953307977,0.22658905146334202
Memphis,0.19777494207421267,0.158941613971494,0.17071060071341218,0.17506874155740565,0.15859599225167725,0.17209853831231386,0.21125461132103487,0.23683959411546956,0.25522007517031503,0.19916846478495664,0.16855197556303544,0.1559880449832184
