offense,hfa,defense,ppa
Texas State,1.0,SMU,0.2822103172169043
Texas State,1.0,SMU,-0.8464656218988579
SMU,-1.0,Texas State,0.96397802655909
SMU,-1.0,Texas State,-0.766047035673644
SMU,-1.0,Texas State,-0.25573478264002514
SMU,-1.0,Texas State,3.326056651997006
SMU,-1.0,Texas State,0.999465762048425
SMU,-1.0,Texas State,-0.5824837756999947
SMU,-1.0,Texas State,-3.5755700542270574
Texas State,1.0,SMU,-0.548127712470997
Texas State,1.0,SMU,0.3067320115273874
Texas State,1.0,SMU,0.8463903604217152
Texas State,1.0,SMU,0.2670717969514394
Texas State,1.0,SMU,2.604447628637523
SMU,-1.0,Texas State,-0.3147690788048898
SMU,-1.0,Texas State,0.9943189490904949
SMU,-1.0,Texas State,-0.6645196581023116
SMU,-1.0,Texas State,2.3352548326831557
SMU,-1.0,Texas State,-0.4184086843592085
SMU,-1.0,Texas State,4.6033062220444165
Texas State,1.0,SMU,-0.5874795431016855
Texas State,1.0,SMU,-0.2677195990543533
Texas State,1.0,SMU,3.0095870579844215
Texas State,1.0,SMU,-0.1238191051734053
Texas State,1.0,SMU,-0.5807728688967231
Texas State,1.0,SMU,0.5041216118147238
SMU,-1.0,Texas State,-0.3623882030735057
SMU,-1.0,Texas State,1.8934299622137425
SMU,-1.0,Texas State,2.207393269816406
SMU,-1.0,Texas State,0.074636067054974
SMU,-1.0,Texas State,-0.209067424082246
SMU,-1.0,Texas State,-0.29509485739271
SMU,-1.0,Texas State,0.038007875318547
Texas State,1.0,SMU,-0.6343354265717327
Texas State,1.0,SMU,2.6502104407975295
SMU,-1.0,Texas State,0.9315823230417933
SMU,-1.0,Texas State,-0.9472719107527577
SMU,-1.0,Texas State,0.6143288122982147
SMU,-1.0,Texas State,-0.049162128193405
SMU,-1.0,Texas State,0.078600001415355
SMU,-1.0,Texas State,-0.6235159366096606
SMU,-1.0,Texas State,-3.5916788036895184
Texas State,1.0,SMU,-0.585616097616759
Texas State,1.0,SMU,1.308859882318865
Texas State,1.0,SMU,-1.1443707554732638
Texas State,1.0,SMU,-0.6166029178742356
Texas State,1.0,SMU,-0.44274141654229204
SMU,-1.0,Texas State,0.3204144720350344
SMU,-1.0,Texas State,0.2820096742175996
SMU,-1.0,Texas State,-0.3845678420514834
SMU,-1.0,Texas State,-0.853942262997709
SMU,-1.0,Texas State,-2.7507117999370116
Texas State,1.0,SMU,0.110039551743057
Texas State,1.0,SMU,-0.4440455940554653
Texas State,1.0,SMU,-1.0990996615554103
Texas State,1.0,SMU,-1.005191084092866
SMU,-1.0,Texas State,1.088807943218082
SMU,-1.0,Texas State,-0.026039089926776
SMU,-1.0,Texas State,-0.306372630736039
SMU,-1.0,Texas State,-0.4767593543943712
Texas State,1.0,SMU,-0.1142886249388964
Texas State,1.0,SMU,1.4351431405165425
Texas State,1.0,SMU,0.7032387839448688
Texas State,1.0,SMU,1.0428837251850105
Texas State,1.0,SMU,0.378481281218303
Texas State,1.0,SMU,-0.3882383440694163
Texas State,1.0,SMU,-0.052171566621837
Texas State,1.0,SMU,-3.014274854143453
SMU,-1.0,Texas State,-1.5598563607412999
Arkansas State,-1.0,Memphis,-0.5874795431016855
Arkansas State,-1.0,Memphis,-0.2677195990543533
Arkansas State,-1.0,Memphis,1.7857616541020294
Arkansas State,-1.0,Memphis,1.0378360233616295
Arkansas State,-1.0,Memphis,0.5660691762792371
Arkansas State,-1.0,Memphis,0.9832760023277703
Arkansas State,-1.0,Memphis,0.6635244797687445
Arkansas State,-1.0,Memphis,-1.0065878474640384
Arkansas State,-1.0,Memphis,0.722464196040438
Arkansas State,-1.0,Memphis,-0.451686236333943
Arkansas State,-1.0,Memphis,0.152137533592271
Arkansas State,-1.0,Memphis,1.900352237473006
Memphis,1.0,Arkansas State,1.01367054476016
Memphis,1.0,Arkansas State,1.3649000856171405
Memphis,1.0,Arkansas State,-1.4077884997833667
Memphis,1.0,Arkansas State,0.9911670694828487
Memphis,1.0,Arkansas State,1.3220501527298012
Memphis,1.0,Arkansas State,-0.0759201604413953
Memphis,1.0,Arkansas State,0.5098075840080333
Memphis,1.0,Arkansas State,0.255452006853528
Memphis,1.0,Arkansas State,-0.218895918192836
Memphis,1.0,Arkansas State,0.442280861194828
Memphis,1.0,Arkansas State,-0.489288067565271
Memphis,1.0,Arkansas State,2.913525891211739
Arkansas State,-1.0,Memphis,1.252308359788624
Arkansas State,-1.0,Memphis,-1.7607688556932537
Arkansas State,-1.0,Memphis,-0.5832797625913333
Memphis,1.0,Arkansas State,-0.4325374473860535
Memphis,1.0,Arkansas State,-1.7404826889836043
Memphis,1.0,Arkansas State,-0.8208195606150266
Memphis,1.0,Arkansas State,-0.46443741641154457
Arkansas State,-1.0,Memphis,-0.30019486377203375
Arkansas State,-1.0,Memphis,3.527194103044854
Arkansas State,-1.0,Memphis,-0.5109950870570472
Arkansas State,-1.0,Memphis,1.0214190049149534
Arkansas State,-1.0,Memphis,-0.5824837756999947
Arkansas State,-1.0,Memphis,1.3719401747076656
Arkansas State,-1.0,Memphis,0.152137533592271
Arkansas State,-1.0,Memphis,1.900352237473006
Memphis,1.0,Arkansas State,0.8735877044597827
Memphis,1.0,Arkansas State,0.3949221212311402
Memphis,1.0,Arkansas State,-0.7014458504345706
Memphis,1.0,Arkansas State,1.547993685359737
Memphis,1.0,Arkansas State,1.2533532635003597
Memphis,1.0,Arkansas State,0.0493424947619036
Memphis,1.0,Arkansas State,0.8557072244805682
Memphis,1.0,Arkansas State,-0.1838209433726501
Memphis,1.0,Arkansas State,2.7525436646650245
Arkansas State,-1.0,Memphis,1.0272443261435713
Arkansas State,-1.0,Memphis,-0.870939720055624
Arkansas State,-1.0,Memphis,-0.7476681406305525
Arkansas State,-1.0,Memphis,-0.3308813457360733
Memphis,1.0,Arkansas State,0.782928648961388
Memphis,1.0,Arkansas State,-0.6215061842869627
Memphis,1.0,Arkansas State,-0.5415125819343293
Memphis,1.0,Arkansas State,-1.0456665971037056
Arkansas State,-1.0,Memphis,1.1391383190649
Arkansas State,-1.0,Memphis,0.3608772046980507
Arkansas State,-1.0,Memphis,3.813823610617736
Arkansas State,-1.0,Memphis,-1.5030445796560097
Arkansas State,-1.0,Memphis,-0.5972730943919426
Arkansas State,-1.0,Memphis,-0.3403510851980087
Memphis,1.0,Arkansas State,-0.18582583063851654
Memphis,1.0,Arkansas State,1.5640703698223914
Memphis,1.0,Arkansas State,-0.1595952673507188
Memphis,1.0,Arkansas State,-0.6049884053438452
Memphis,1.0,Arkansas State,-0.8217967576138774
Arkansas State,-1.0,Memphis,-0.40084650139258127
Arkansas State,-1.0,Memphis,0.18784559988743954
Arkansas State,-1.0,Memphis,1.3025055152577236
Arkansas State,-1.0,Memphis,1.0102722158723196
Arkansas State,-1.0,Memphis,0.8346882376054817
Arkansas State,-1.0,Memphis,-0.375732386813203
