school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Temple,-0.013,0.056,0.168,0.187,0.087,0.151,0.133,0.198,-0.138,0.038,0.195,0.172
Tennessee,0.385,0.336,0.158,0.165,0.56,0.403,0.235,0.241,0.271,0.219,0.03,0.092
Texas,0.3,0.272,0.099,0.122,0.391,0.308,0.183,0.212,0.214,0.19,-0.006,0.068
Texas A&M,0.11,0.154,0.149,0.131,0.134,0.202,0.191,0.203,0.141,0.147,0.164,0.146
Texas State,0.069,0.122,0.117,0.162,0.126,0.192,0.093,0.178,0.006,0.097,0.154,0.165
Texas Tech,0.164,0.176,0.169,0.156,0.105,0.148,0.158,0.181,0.258,0.216,0.18,0.162
Toledo,0.287,0.246,0.173,0.179,0.397,0.295,0.217,0.216,0.219,0.2,0.128,0.139
Troy,0.144,0.177,0.108,0.125,0.237,0.258,0.143,0.176,0.033,0.102,0.106,0.126
Tulane,0.194,0.194,0.157,0.153,0.216,0.231,0.245,0.233,0.185,0.167,0.062,0.106
Tulsa,0.162,0.157,0.221,0.208,0.216,0.21,0.278,0.258,0.228,0.19,0.173,0.153
UAB,0.281,0.224,0.144,0.157,0.294,0.245,0.042,0.145,0.301,0.218,0.244,0.194
UCF,0.293,0.266,0.137,0.176,0.296,0.272,0.251,0.261,0.285,0.22,0.042,0.114
UCLA,0.339,0.277,0.21,0.196,0.417,0.318,0.218,0.224,0.301,0.216,0.209,0.173
UMass,-0.022,0.05,0.198,0.212,-0.196,0.068,0.315,0.274,0.068,0.115,0.15,0.158
UNLV,0.193,0.189,0.203,0.22,0.051,0.163,0.156,0.214,0.326,0.22,0.255,0.213
USC,0.397,0.323,0.165,0.163,0.434,0.349,0.087,0.137,0.366,0.252,0.268,0.214
Utah,0.272,0.258,0.169,0.147,0.359,0.312,0.137,0.163,0.208,0.185,0.201,0.164
Utah State,0.086,0.117,0.216,0.209,0.073,0.16,0.187,0.211,0.119,0.135,0.238,0.191
UTEP,0.092,0.085,0.184,0.214,0.063,0.125,0.324,0.294,0.137,0.127,0.16,0.174
UT San Antonio,0.282,0.236,0.189,0.192,0.269,0.252,0.314,0.276,0.309,0.217,0.045,0.105
Vanderbilt,0.134,0.162,0.283,0.219,0.163,0.212,0.459,0.334,0.097,0.133,0.19,0.156
Virginia,0.046,0.119,0.107,0.138,0.011,0.142,0.137,0.197,0.107,0.139,0.11,0.13
Virginia Tech,0.047,0.087,0.182,0.169,0.078,0.146,0.249,0.222,0.009,0.091,0.131,0.146
Wake Forest,0.204,0.208,0.166,0.163,0.371,0.32,0.198,0.211,0.028,0.086,0.127,0.134
Washington,0.343,0.272,0.28,0.244,0.474,0.356,0.441,0.334,0.16,0.146,0.122,0.142
Washington State,0.177,0.18,0.139,0.14,0.166,0.206,0.205,0.223,0.209,0.165,0.08,0.105
Western Kentucky,0.283,0.25,0.07,0.125,0.329,0.286,0.084,0.167,0.216,0.184,0.107,0.13
Western Michigan,0.036,0.081,0.28,0.265,0.064,0.132,0.405,0.323,0.019,0.093,0.155,0.161
West Virginia,0.207,0.218,0.32,0.25,0.235,0.249,0.473,0.347,0.178,0.173,0.216,0.164
Wisconsin,0.295,0.265,0.156,0.161,0.45,0.33,0.257,0.238,0.167,0.171,0.064,0.115
Wyoming,0.146,0.143,0.182,0.208,0.067,0.151,0.231,0.253,0.214,0.178,0.187,0.174
