id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,excitement_index,highlights,notes
401112191,2019,1,regular,2019-08-31T23:30:00.000Z,,False,False,69250.0,3793,Kinnick Stadium,2294,Iowa,Big Ten,38,"[3, 7, 14, 14]",0.9986303418827187,193,Miami (OH),Mid-American,14,"[0, 7, 0, 7]",0.0013696581172812916,1.85899845859999,https://www.youtube.com/watch?v=0TmNLx4vcJc,
401110725,2019,1,regular,2019-08-31T23:30:00.000Z,,False,False,97420.0,3958,Tiger Stadium,99,LSU,SEC,55,"[21, 21, 10, 3]",0.9999962321813448,290,Georgia Southern,Sun Belt,3,"[0, 3, 0, 0]",3.7678186551870496e-06,0.1633242825,https://www.youtube.com/watch?v=fdrl8mZ4-9E,
401110728,2019,1,regular,2019-08-31T23:30:00.000Z,,False,False,26037.0,3984,War Memorial Stadium,2751,Wyoming,Mountain West,37,"[0, 27, 7, 3]",0.04476311442487256,142,Missouri,SEC,31,"[14, 3, 0, 14]",0.9552368855751274,5.6275847598,https://www.youtube.com/watch?v=G_vcntObtDM,
401110722,2019,1,regular,2019-08-31T23:30:00.000Z,,True,False,60662.0,3687,AT&T Stadium,2,Auburn,SEC,27,"[3, 3, 7, 14]",0.786916801751763,2483,Oregon,Pac-12,21,"[14, 0, 7, 0]",0.21308319824823696,7.05706116539999,https://www.youtube.com/watch?v=N4Li6jkRKjU,
401110732,2019,1,regular,2019-08-31T23:30:00.000Z,,False,True,40350.0,3973,Vanderbilt Stadium,238,Vanderbilt,SEC,6,"[0, 6, 0, 0]",0.030271042172453185,61,Georgia,SEC,30,"[14, 7, 3, 6]",0.9697289578275469,0.829345206999999,https://www.youtube.com/watch?v=tlwawmckogY,
401112222,2019,1,regular,2019-08-31T23:30:00.000Z,,False,False,110811.0,3558,Michigan Stadium,130,Michigan,Big Ten,40,"[10, 17, 6, 7]",0.9972892547068453,2393,Middle Tennessee,Conference USA,21,"[7, 7, 0, 7]",0.002710745293154737,0.635657455299999,https://www.youtube.com/watch?v=2RQfvFtyYQM,
401112433,2019,1,regular,2019-08-31T23:30:00.000Z,,False,True,47144.0,3752,Heinz Field,221,Pittsburgh,ACC,14,"[0, 14, 0, 0]",0.008604470838177036,258,Virginia,ACC,30,"[10, 3, 10, 7]",0.9913955291618229,4.7215499908,https://www.youtube.com/watch?v=50G9GyZqx6s,
401112135,2019,1,regular,2019-09-01T00:00:00.000Z,,False,False,93418.0,3910,Darrell K Royal-Texas Memorial Stadium,251,Texas,Big 12,45,"[7, 17, 14, 7]",0.9998579592185066,2348,Louisiana Tech,Conference USA,14,"[0, 0, 0, 14]",0.00014204078149337995,0.738717734799999,https://www.youtube.com/watch?v=cH9X2wCWDjk,
401114228,2019,1,regular,2019-09-01T02:00:00.000Z,,False,False,27228.0,3820,Martin Stadium,265,Washington State,Pac-12,58,"[14, 21, 13, 10]",0.999960063909638,166,New Mexico State,FBS Independents,7,"[7, 0, 0, 0]",3.993609036201384e-05,0.206438039199999,https://www.youtube.com/watch?v=q27cNxEtO8o,
401114218,2019,1,regular,2019-09-01T02:30:00.000Z,,False,False,57329.0,477,Los Angeles Memorial Coliseum,30,USC,Pac-12,31,"[14, 3, 14, 0]",0.34684885918453956,278,Fresno State,Mountain West,23,"[3, 7, 3, 10]",0.6531511408154604,2.82922510999999,https://www.youtube.com/watch?v=zHNUTfiwW9A,
401112114,2019,1,regular,2019-09-01T23:30:00.000Z,,False,False,84534.0,3835,Gaylord Family Oklahoma Memorial Stadium,201,Oklahoma,Big 12,49,"[7, 14, 21, 7]",0.9985441242256733,248,Houston,American Athletic,31,"[0, 10, 7, 14]",0.0014558757743267092,0.820205975199998,https://www.youtube.com/watch?v=fkhfSzrJSDA,
401112436,2019,1,regular,2019-09-03T00:00:00.000Z,,False,False,58187.0,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,17,"[14, 0, 0, 3]",0.016323079663488588,87,Notre Dame,FBS Independents,35,"[14, 7, 7, 7]",0.9836769203365114,2.83786163389999,https://www.youtube.com/watch?v=Am19Ppsmq4M,
401112447,2019,2,regular,2019-09-07T00:00:00.000Z,,False,False,17567.0,3895,Rice Stadium,242,Rice,Conference USA,21,"[14, 0, 0, 7]",0.005455547631146878,154,Wake Forest,ACC,41,"[14, 10, 10, 7]",0.9945444523688531,1.4524671429,https://www.youtube.com/watch?v=w5obip_UWS4,
401114251,2019,2,regular,2019-09-07T01:00:00.000Z,,False,False,31951.0,3653,Albertsons Stadium,68,Boise State,Mountain West,14,"[0, 7, 7, 0]",0.9742280253075609,276,Marshall,Conference USA,7,"[7, 0, 0, 0]",0.02577197469243908,4.7394687916,https://www.youtube.com/watch?v=P7Jg7cmBT6s,
401112445,2019,2,regular,2019-09-07T15:00:00.000Z,,False,False,42168.0,3752,Heinz Field,221,Pittsburgh,ACC,20,"[3, 14, 3, 0]",0.8936988972478924,195,Ohio,Mid-American,10,"[0, 3, 7, 0]",0.10630110275210758,3.6687255659,https://www.youtube.com/watch?v=WanB32WIoVA,
401112202,2019,2,regular,2019-09-07T16:00:00.000Z,,False,False,33493.0,3665,Maryland Stadium,120,Maryland,Big Ten,63,"[21, 21, 7, 14]",0.9999232292956708,183,Syracuse,ACC,20,"[7, 6, 7, 0]",7.677070432920985e-05,1.73828600679999,https://www.youtube.com/watch?v=evveoF8UwmI,
401112446,2019,2,regular,2019-09-07T16:00:00.000Z,,False,False,57282.0,3799,Lane Stadium,259,Virginia Tech,ACC,31,"[10, 7, 7, 7]",0.9944391493670949,295,Old Dominion,Conference USA,17,"[3, 0, 7, 7]",0.005560850632905123,0.673161552200001,https://www.youtube.com/watch?v=j1XQWyc_9Ew,
401114254,2019,2,regular,2019-09-07T16:00:00.000Z,,False,False,18972.0,3768,Summa Field at InfoCision Stadium,2006,Akron,Mid-American,20,"[6, 0, 0, 14]",0.7161763083466212,5,UAB,Conference USA,31,"[7, 10, 14, 0]",0.28382369165337884,3.2912502379,,
401110785,2019,2,regular,2019-09-07T16:00:00.000Z,,False,False,50506.0,3907,Ross-Ade Stadium,2509,Purdue,Big Ten,42,"[7, 7, 14, 14]",0.9929547799383418,238,Vanderbilt,SEC,24,"[7, 3, 0, 14]",0.007045220061658197,4.1853786758,https://www.youtube.com/watch?v=QJXj329XGJ0,
401110781,2019,2,regular,2019-09-07T16:00:00.000Z,,False,False,51215.0,3838,Faurot Field,142,Missouri,SEC,38,"[10, 21, 0, 7]",0.9999894187760879,277,West Virginia,Big 12,7,"[0, 0, 0, 7]",1.0581223912065063e-05,1.09804057329999,https://www.youtube.com/watch?v=SSKK8cviWd4,
